,Initial Value,Final Value,Number of Votes,Yays,Majority Party Size,Distance between Medians,Majority St. Dev.,Majority Round Adjustment,Minority St. Dev.,Minority Round Adjustment
6385,0.3172338722939162,0.13723387229391618,19.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6386,0.1776984959446641,0.047698495944664104,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6387,0.2123445541140981,0.0723445541140981,15.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6388,0.33437332367437755,0.16437332367437754,18.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6389,-0.3092870971743351,-0.15928709717433512,16.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6390,-0.06908316574966271,0.018347170663394807,16.0,56.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6391,0.0684698855599799,0.02753244853301,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6392,-0.1829057832530538,-0.052905783253053784,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6393,-0.17921412851618035,-0.039214128516180335,15.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6394,0.19965572365065323,0.07965572365065324,13.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6395,-0.25198055042491485,-0.09198055042491485,17.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6396,0.02186830753627513,0.015919179404962763,13.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6397,0.10456082678780287,0.05023088831996708,15.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6398,0.11112945368016551,0.001184980679463321,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6399,-0.24413282053231725,-0.08413282053231722,17.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6400,0.1608711491598133,0.01087114915981327,16.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6401,-0.18610924357368738,-0.05610924357368738,14.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6402,-0.0004875371849673571,-0.0004875371849673571,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6403,-0.11934575041005878,0.014611973613607249,15.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6404,-0.014120399959769676,-0.0026197111516257365,15.0,56.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6405,-0.12845242334933,-0.02845242334933,11.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6406,-0.14220969208000003,-0.012209692080000029,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6407,0.09280808530318274,0.002591567315809312,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6408,0.13636968971158395,0.006369689711583942,14.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6409,0.1452886950943716,0.010002713256505535,16.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6410,0.06227515937869449,0.011559270575704633,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6411,0.06523595093704175,-0.020341164763231168,13.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6412,-0.07538726808543274,0.013789043710166815,15.0,59.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6413,-0.021104202090282537,0.0014252426698574128,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6414,-0.15965166090753802,-0.029651660907538013,14.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6415,-0.04634979962267596,0.03106509215751664,14.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6416,0.1913146247021996,0.05131462470219958,15.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6417,-0.25696311609041794,-0.10696311609041795,16.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6418,-0.18564430478508487,-0.055644304785084864,14.0,58.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6419,0.31980469302660997,0.15980469302660996,17.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6420,-0.14301315459787994,-0.03301315459787996,12.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6421,0.18408759345215747,0.04408759345215746,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6422,0.007890713907528452,-0.0025301919717133914,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6423,-0.20606417481991737,-0.07606417481991737,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6424,0.13352047031941733,0.02142198176379137,15.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6425,0.1856028724261775,0.05560287242617751,14.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6426,0.40549732784401493,0.2154973278440149,20.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6427,0.38283480380443247,0.19283480380443244,20.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6428,0.2562662785581068,0.11626627855810681,15.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6429,-0.10498810774170429,0.010174365212175324,14.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6430,-0.05207821258319262,0.014368987270371475,15.0,60.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6431,-0.19717823217817132,-0.02717823217817128,18.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6432,-0.17569395619765132,-0.03569395619765131,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6433,-0.13711204391212797,-0.01153764596811463,17.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6434,0.20596321726034889,0.06596321726034887,15.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6435,0.09661293203419423,0.016993023644324895,15.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6436,0.14711272006671455,0.016504824682797625,17.0,59.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6437,-0.2919213652694095,-0.13192136526940948,17.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6438,-0.08223283165845063,-0.0007965722192944946,16.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6439,-0.10487444171785969,0.0036204249852027637,13.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6440,0.18519383451674395,0.05519383451674395,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
